Category,Date,Revenue,Orders,Units,Product_Views
ジーンズ/デニム,28-03-2022,1042333.227,96,112,30702
ジーンズ/デニム,29-03-2022,1264880.687,142,218,36747
ジーンズ/デニム,30-03-2022,905563.2681,109,135,30044
ジーンズ/デニム,31-03-2022,1139940.65,131,180,32640
ジーンズ/デニム,01-04-2022,1975278.825,177,247,32112
ジーンズ/デニム,02-04-2022,1628391.65,165,205,35717
ジーンズ/デニム,03-04-2022,1157981.343,144,178,41116
ジーンズ/デニム,04-04-2022,1395423.716,160,188,35861
ジーンズ/デニム,05-04-2022,1286779.342,137,173,28673
ジーンズ/デニム,06-04-2022,1006954.079,113,137,29070
ジーンズ/デニム,07-04-2022,1306011.976,134,172,27665
ジーンズ/デニム,08-04-2022,987971.2668,116,138,25527
ジーンズ/デニム,09-04-2022,1104480.713,106,129,28108
ジーンズ/デニム,10-04-2022,1069158.738,107,124,31650
ジーンズ/デニム,11-04-2022,809794.0944,73,83,24487
ジーンズ/デニム,12-04-2022,1240697.581,99,110,26698
ジーンズ/デニム,13-04-2022,1328999.412,92,100,24286
ジーンズ/デニム,14-04-2022,1374414.978,75,83,23140
ジーンズ/デニム,15-04-2022,1162342.679,73,88,23384
ジーンズ/デニム,16-04-2022,1072223.729,71,79,24898
ジーンズ/デニム,17-04-2022,1354646.653,92,99,28377
ジーンズ/デニム,18-04-2022,680787.2889,46,53,21029
ジーンズ/デニム,19-04-2022,797638.5324,57,62,21109
ジーンズ/デニム,20-04-2022,1020371.184,65,68,20760
ジーンズ/デニム,21-04-2022,869038.1658,52,63,19086
ジーンズ/デニム,22-04-2022,656033.6925,43,46,21098
ジーンズ/デニム,23-04-2022,862393.6224,53,64,22833
ジーンズ/デニム,24-04-2022,875596.9491,52,58,27052
ジーンズ/デニム,25-04-2022,709608.897,47,50,19198
ジーンズ/デニム,26-04-2022,909443.6019,46,53,22673
ジーンズ/デニム,27-04-2022,645168.2607,42,43,21297
ジーンズ/デニム,28-04-2022,1121210.147,91,94,20928
ジーンズ/デニム,29-04-2022,1110553.522,80,90,25551
ジーンズ/デニム,30-04-2022,937823.9805,74,77,24284
ジーンズ/デニム,01-05-2022,940933.7163,74,78,30897
ジーンズ/デニム,02-05-2022,656656.3854,51,54,25706
ジーンズ/デニム,03-05-2022,1053900.897,76,84,30592
ジーンズ/デニム,04-05-2022,1431602.05,93,104,30050
ジーンズ/デニム,05-05-2022,1128675.004,79,87,28168
ジーンズ/デニム,06-05-2022,1585331.379,105,111,26143
ジーンズ/デニム,07-05-2022,1930558.04,120,133,28985
ジーンズ/デニム,08-05-2022,1605084.789,118,132,30288
ジーンズ/デニム,09-05-2022,1572929.723,88,93,21558
ジーンズ/デニム,10-05-2022,701669.2518,53,56,22768
ジーンズ/デニム,11-05-2022,744187.6179,45,45,19276
ジーンズ/デニム,12-05-2022,677885.1174,48,50,17776
ジーンズ/デニム,13-05-2022,741056.7528,51,52,18686
ジーンズ/デニム,14-05-2022,814532.0292,51,54,21441
ジーンズ/デニム,15-05-2022,535410.2475,37,38,23855
ジーンズ/デニム,16-05-2022,866753.7156,57,65,19382
ジーンズ/デニム,17-05-2022,762974.0514,48,51,19590
ジーンズ/デニム,18-05-2022,729213.1587,56,57,23268
ジーンズ/デニム,19-05-2022,662649.6492,46,48,19373
ジーンズ/デニム,20-05-2022,4641806.428,145,147,30572
ジーンズ/デニム,21-05-2022,1034222.062,67,70,23670
ジーンズ/デニム,22-05-2022,947318.4936,64,70,25768
ジーンズ/デニム,23-05-2022,827203.3947,55,59,19397
ジーンズ/デニム,24-05-2022,1101929.039,84,95,23042
ジーンズ/デニム,25-05-2022,895182.5673,60,67,20855
ジーンズ/デニム,26-05-2022,655343.883,51,57,22691
ジーンズ/デニム,27-05-2022,869338.9476,67,73,19233
ジーンズ/デニム,28-05-2022,994548.6936,79,88,22122
ジーンズ/デニム,29-05-2022,1137930.881,77,97,24521
ジーンズ/デニム,30-05-2022,801162.1539,55,64,20914
ジーンズ/デニム,31-05-2022,875629.2645,64,70,25391
ジーンズ/デニム,01-06-2022,963379.2474,69,77,26402
ジーンズ/デニム,02-06-2022,806398.4916,62,72,22018
ジーンズ/デニム,03-06-2022,3766052.874,261,315,54643
ジーンズ/デニム,04-06-2022,1681473.423,118,129,31344
ジーンズ/デニム,05-06-2022,1828336.973,108,123,31297
ジーンズ/デニム,06-06-2022,948688.1694,66,77,23404
ジーンズ/デニム,07-06-2022,1031608.243,74,85,23462
ジーンズ/デニム,08-06-2022,1087859.411,72,78,24625
ジーンズ/デニム,09-06-2022,661503.6954,50,53,20366
ジーンズ/デニム,10-06-2022,1450848.356,97,115,32201
ジーンズ/デニム,11-06-2022,1159920.267,78,90,27242
ジーンズ/デニム,12-06-2022,975993.4395,74,80,28775
ジーンズ/デニム,13-06-2022,938958.7482,66,73,21497
ジーンズ/デニム,14-06-2022,915777.4203,72,88,26679
ジーンズ/デニム,15-06-2022,1154984.711,82,92,24262
ジーンズ/デニム,16-06-2022,1200386.606,96,110,24315
ジーンズ/デニム,17-06-2022,1918406.207,165,192,37208
ジーンズ/デニム,18-06-2022,1217541.111,96,113,26640
ジーンズ/デニム,19-06-2022,1207471.136,102,121,28444
ジーンズ/デニム,20-06-2022,764794.8999,77,85,21673
ジーンズ/デニム,21-06-2022,983076.7266,85,98,22355
ジーンズ/デニム,22-06-2022,969122.6883,84,98,20902
ジーンズ/デニム,23-06-2022,993042.2988,83,95,19509
ジーンズ/デニム,24-06-2022,1002502.011,81,92,20820
ジーンズ/デニム,25-06-2022,850801.0941,70,77,24474
ジーンズ/デニム,26-06-2022,1081602.653,104,120,27432
ジーンズ/デニム,27-06-2022,599648.2911,54,61,18739
ジーンズ/デニム,28-06-2022,686540.673,68,74,18181
ジーンズ/デニム,29-06-2022,934041.8358,81,101,23095
ジーンズ/デニム,30-06-2022,1001700.34,82,93,19364
ジーンズ/デニム,01-07-2022,1848095.354,166,219,22997
ジーンズ/デニム,02-07-2022,1512155.642,140,193,29334
ジーンズ/デニム,03-07-2022,1532923.258,161,194,32304
メンズ トラッカー/ デニムジャケット(ジージャン),05-07-2021,49178.58,5,7,3039
メンズ トラッカー/ デニムジャケット(ジージャン),06-07-2021,249344.85,20,33,3961
メンズ トラッカー/ デニムジャケット(ジージャン),07-07-2021,131130.43,13,18,3472
メンズ トラッカー/ デニムジャケット(ジージャン),08-07-2021,141904.75,13,16,3876
メンズ トラッカー/ デニムジャケット(ジージャン),09-07-2021,151624.71,13,16,4854
メンズ トラッカー/ デニムジャケット(ジージャン),10-07-2021,49915.54,8,8,3673
メンズ トラッカー/ デニムジャケット(ジージャン),11-07-2021,69724.48,9,9,3808
メンズ トラッカー/ デニムジャケット(ジージャン),12-07-2021,158819.67,19,20,3312
メンズ トラッカー/ デニムジャケット(ジージャン),13-07-2021,45490.49,7,7,3201
メンズ トラッカー/ デニムジャケット(ジージャン),14-07-2021,94810.75,13,14,3180
メンズ トラッカー/ デニムジャケット(ジージャン),15-07-2021,106965.63,14,16,3468
メンズ トラッカー/ デニムジャケット(ジージャン),16-07-2021,151294.12,15,15,3553
メンズ トラッカー/ デニムジャケット(ジージャン),17-07-2021,21773.8,2,2,3427
メンズ トラッカー/ デニムジャケット(ジージャン),18-07-2021,41600.31,4,4,3492
メンズ トラッカー/ デニムジャケット(ジージャン),19-07-2021,68391.14,5,6,2173
メンズ トラッカー/ デニムジャケット(ジージャン),20-07-2021,259388.81,11,21,2809
メンズ トラッカー/ デニムジャケット(ジージャン),21-07-2021,154699.95,13,14,2163
メンズ トラッカー/ デニムジャケット(ジージャン),22-07-2021,57370.8,5,5,2585
メンズ トラッカー/ デニムジャケット(ジージャン),23-07-2021,112106.78,10,12,3396
メンズ トラッカー/ デニムジャケット(ジージャン),24-07-2021,61915.56,5,6,2915
メンズ トラッカー/ デニムジャケット(ジージャン),25-07-2021,59578.38,6,7,2877
メンズ トラッカー/ デニムジャケット(ジージャン),26-07-2021,137365.48,10,11,2591
メンズ トラッカー/ デニムジャケット(ジージャン),27-07-2021,396699.37,21,23,5765
メンズ トラッカー/ デニムジャケット(ジージャン),28-07-2021,21064.3,3,3,3375
メンズ トラッカー/ デニムジャケット(ジージャン),29-07-2021,118347.32,9,9,2658
メンズ トラッカー/ デニムジャケット(ジージャン),30-07-2021,21062.1,2,2,3036
メンズ トラッカー/ デニムジャケット(ジージャン),31-07-2021,88197.88,10,10,2839
メンズ トラッカー/ デニムジャケット(ジージャン),01-08-2021,134792.16,15,15,4241
メンズ トラッカー/ デニムジャケット(ジージャン),02-08-2021,103048,8,10,2971
メンズ トラッカー/ デニムジャケット(ジージャン),03-08-2021,310623.4,24,34,4615
メンズ トラッカー/ デニムジャケット(ジージャン),04-08-2021,18106.57,2,2,3004
メンズ トラッカー/ デニムジャケット(ジージャン),05-08-2021,49535.53,7,7,2754
メンズ トラッカー/ デニムジャケット(ジージャン),06-08-2021,317781.02,15,16,11719
メンズ トラッカー/ デニムジャケット(ジージャン),07-08-2021,30004.46,5,5,5272
メンズ トラッカー/ デニムジャケット(ジージャン),08-08-2021,48823.83,7,7,4684
メンズ トラッカー/ デニムジャケット(ジージャン),09-08-2021,157570.9,10,17,3934
メンズ トラッカー/ デニムジャケット(ジージャン),10-08-2021,184975.69,12,19,3866
メンズ トラッカー/ デニムジャケット(ジージャン),11-08-2021,142167.25,13,17,3630
メンズ トラッカー/ デニムジャケット(ジージャン),12-08-2021,156086,15,20,3384
メンズ トラッカー/ デニムジャケット(ジージャン),13-08-2021,337907.37,28,43,6490
メンズ トラッカー/ デニムジャケット(ジージャン),14-08-2021,357300.05,27,46,6045
メンズ トラッカー/ デニムジャケット(ジージャン),15-08-2021,156048.66,17,19,6149
メンズ トラッカー/ デニムジャケット(ジージャン),16-08-2021,152039.87,18,23,4910
メンズ トラッカー/ デニムジャケット(ジージャン),17-08-2021,110935.99,14,15,5902
メンズ トラッカー/ デニムジャケット(ジージャン),18-08-2021,417561.58,31,49,4470
メンズ トラッカー/ デニムジャケット(ジージャン),19-08-2021,253374.52,21,27,3846
メンズ トラッカー/ デニムジャケット(ジージャン),20-08-2021,392551.09,28,41,4127
メンズ トラッカー/ デニムジャケット(ジージャン),21-08-2021,368620.23,30,46,5011
メンズ トラッカー/ デニムジャケット(ジージャン),22-08-2021,139569.77,18,21,5301
メンズ トラッカー/ デニムジャケット(ジージャン),23-08-2021,389448.39,28,53,4211
メンズ トラッカー/ デニムジャケット(ジージャン),24-08-2021,375704.27,22,44,4907
メンズ トラッカー/ デニムジャケット(ジージャン),25-08-2021,232478.26,22,23,4435
メンズ トラッカー/ デニムジャケット(ジージャン),26-08-2021,315552.57,16,31,3530
メンズ トラッカー/ デニムジャケット(ジージャン),27-08-2021,180030.04,16,17,5137
メンズ トラッカー/ デニムジャケット(ジージャン),28-08-2021,41140.12,3,3,4439
メンズ トラッカー/ デニムジャケット(ジージャン),29-08-2021,88654.78,5,5,3980
メンズ トラッカー/ デニムジャケット(ジージャン),30-08-2021,328006.2,10,18,3066
メンズ トラッカー/ デニムジャケット(ジージャン),31-08-2021,30248.28,3,4,2843
メンズ トラッカー/ デニムジャケット(ジージャン),01-09-2021,55838.67,4,6,3175
メンズ トラッカー/ デニムジャケット(ジージャン),02-09-2021,144785.59,9,11,3310
